mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
0.65,2.53,-28.0,58.02,1.0,65,16.91,20.2,255.86,8679.0,32447.0,11,2,2.0
0.65,2.52,-27.0,58.19,2.0,62,23.12,20.42,235.56,7804.0,32337.0,11,2,1.0
0.63,2.45,-28.0,56.04,1.0,69,20.58,19.42,227.28,8179.0,33022.0,11,2,1.0
0.63,2.45,-27.0,55.77,1.0,67,21.27,19.37,226.78,7730.0,32647.0,11,2,1.0
0.62,2.41,-28.0,55.23,1.0,68,20.44,19.43,224.97,7852.0,32643.0,11,2,2.0
0.62,2.4,-27.0,55.01,2.0,65,23.31,19.69,242.62,7507.0,32508.0,11,2,1.0
0.63,2.39,-28.0,54.77,1.0,64,22.8,19.97,251.82,7582.0,33168.0,11,2,1.0
0.62,2.37,-28.0,55.52,1.0,61,21.51,20.09,240.35,7350.0,32736.0,11,2,2.0
0.62,2.36,-28.0,55.34,2.0,62,28.07,20.59,244.77,6845.0,32501.0,11,2,1.0
0.63,2.35,-28.0,56.34,1.0,64,27.81,20.65,257.21,6533.0,32106.0,11,2,1.0
0.63,2.33,-28.0,56.19,1.0,65,25.54,20.8,245.5,6748.0,32236.0,11,2,1.0
0.62,2.31,-28.0,56.72,1.0,68,26.3,21.03,249.2,6678.0,32141.0,11,2,1.0
0.6,2.27,-28.0,60.94,1.0,72,22.03,20.37,237.3,7594.0,32957.0,11,2,1.0
0.61,2.26,-27.0,60.66,1.0,69,22.38,20.44,248.39,7191.0,32177.0,11,2,2.0
0.59,2.23,-28.0,60.66,2.0,69,18.39,21.13,247.39,7379.0,32225.0,11,2,1.0
0.59,2.2,-28.0,60.26,1.0,74,17.43,21.27,237.94,7864.0,32440.0,11,2,1.0
0.58,2.18,-28.0,60.14,1.0,74,19.72,21.63,269.41,7624.0,32275.0,11,2,1.0
0.58,2.16,-28.0,59.97,1.0,73,18.95,21.7,252.2,7721.0,32252.0,11,2,1.0
0.58,2.16,-27.0,60.75,1.0,72,22.75,21.56,253.89,6450.0,31945.0,11,2,1.0
0.58,2.15,-27.0,61.64,1.0,71,21.74,21.29,239.01,6590.0,31745.0,10,2,1.0
0.58,2.13,-28.0,61.59,1.0,72,23.45,21.64,242.69,5927.0,31120.0,10,2,1.0
0.57,2.11,-28.0,60.96,1.0,75,23.44,22.25,231.38,5927.0,30410.0,10,2,1.0
0.57,2.1,-28.0,61.26,1.0,73,23.44,22.47,240.38,5552.0,29820.0,10,2,1.0
0.57,2.09,-28.0,61.12,1.0,74,22.26,22.71,210.06,5657.0,29751.0,10,2,1.0
0.57,2.08,-28.0,60.75,1.0,74,23.88,22.53,241.43,5525.0,29851.0,10,2,2.0
0.57,2.07,-28.0,60.38,2.0,69,21.73,22.56,274.57,6465.0,29531.0,11,2,1.0
0.57,2.06,-28.0,60.22,1.0,70,22.15,22.19,282.45,6805.0,29696.0,11,2,1.0
0.57,2.05,-28.0,59.87,1.0,72,21.87,21.94,292.76,7195.0,29801.0,11,2,1.0
0.56,2.03,-28.0,60.74,1.0,68,21.88,22.83,278.35,7212.0,28853.0,11,2,1.0
0.56,2.02,-28.0,61.03,1.0,69,20.31,22.45,270.24,7362.0,29383.0,11,2,1.0
0.56,2.0,-28.0,60.86,1.0,70,20.07,22.44,251.45,7387.0,29386.0,11,2,1.0
0.54,1.97,-28.0,60.72,1.0,75,22.61,22.16,243.46,7427.0,29521.0,11,2,1.0
0.54,1.96,-28.0,61.31,1.0,78,21.27,22.04,220.04,7552.0,29576.0,11,2,1.0
0.54,1.95,-28.0,61.56,1.0,78,21.86,21.94,201.73,7485.0,29599.0,11,2,1.0
0.54,1.94,-28.0,62.04,1.0,78,21.79,22.01,191.58,7495.0,29946.0,11,2,1.0
0.54,1.93,-28.0,61.48,1.0,79,23.93,21.97,204.48,7653.0,30006.0,11,2,1.0
0.54,1.93,-27.0,61.3,1.0,80,25.0,21.76,200.04,7543.0,30081.0,11,2,1.0
0.54,1.92,-28.0,61.2,1.0,80,24.86,21.88,219.91,7558.0,30411.0,11,2,1.0
0.54,1.91,-27.0,61.05,1.0,79,25.26,22.16,230.82,7161.0,29934.0,11,2,1.0
0.54,1.9,-28.0,61.35,1.0,80,25.53,21.96,228.7,7141.0,30039.0,11,2,1.0
0.53,1.88,-28.0,60.35,1.0,80,25.04,22.72,247.33,7184.0,29189.0,11,2,1.0
0.52,1.86,-28.0,60.3,1.0,83,24.13,22.48,252.16,7254.0,30009.0,11,2,1.0
0.52,1.85,-28.0,59.79,1.0,81,23.6,23.06,260.71,7299.0,29621.0,11,2,1.0
0.52,1.84,-28.0,59.41,1.0,84,25.01,23.35,298.55,7164.0,29866.0,11,2,1.0
0.51,1.83,-28.0,58.87,1.0,83,24.52,23.62,279.5,7194.0,29741.0,11,2,1.0
0.51,1.81,-28.0,59.78,1.0,84,22.32,22.77,257.06,7696.0,30006.0,11,2,1.0
0.5,1.8,-28.0,59.8,1.0,86,23.72,23.13,269.26,7531.0,29849.0,11,2,1.0
0.5,1.79,-28.0,60.82,1.0,87,23.06,22.8,244.59,7650.0,30389.0,11,2,1.0
0.51,1.79,-27.0,60.67,1.0,87,23.86,22.95,241.23,7590.0,31009.0,11,2,1.0
0.51,1.78,-28.0,60.48,1.0,86,24.35,23.29,241.35,7535.0,31229.0,11,2,1.0
0.51,1.78,-28.0,60.83,1.0,84,21.19,22.82,225.85,8010.0,31949.0,11,2,1.0
0.51,1.77,-27.0,60.68,1.0,82,21.65,23.21,237.08,7595.0,31784.0,11,2,2.0
0.51,1.77,-27.0,60.56,2.0,79,23.85,23.17,270.04,7475.0,31799.0,11,2,2.0
0.51,1.76,-28.0,60.34,2.0,81,24.89,23.67,291.0,7330.0,31874.0,11,2,1.0
0.5,1.74,-28.0,61.67,1.0,86,22.53,23.38,262.57,7605.0,32029.0,11,2,1.0
0.5,1.73,-28.0,62.17,1.0,88,24.0,23.3,242.49,7315.0,32069.0,11,2,1.0
0.49,1.72,-28.0,61.55,1.0,89,23.93,23.69,242.92,7690.0,32262.0,11,2,1.0
0.49,1.71,-28.0,61.09,1.0,91,22.95,23.75,229.64,7775.0,32227.0,11,2,1.0
0.49,1.7,-28.0,61.1,1.0,89,21.74,23.54,217.44,7900.0,32312.0,11,2,1.0
0.49,1.69,-28.0,61.62,1.0,86,20.39,23.17,199.69,8085.0,32527.0,11,2,1.0
0.49,1.68,-28.0,61.17,1.0,87,20.04,23.34,202.8,8130.0,32452.0,11,2,1.0
0.48,1.67,-28.0,60.56,1.0,89,21.77,23.32,232.58,7920.0,32464.0,11,2,1.0
0.48,1.67,-28.0,60.43,1.0,89,21.01,23.08,221.11,8005.0,32579.0,11,2,1.0
0.48,1.66,-28.0,60.31,1.0,88,20.31,22.83,211.18,8070.0,32679.0,11,2,1.0
0.48,1.66,-28.0,60.07,1.0,89,21.55,22.95,222.34,7955.0,32639.0,11,2,1.0
0.48,1.65,-28.0,59.77,1.0,89,22.38,22.95,223.27,7880.0,32634.0,11,2,1.0
0.48,1.65,-28.0,59.59,1.0,90,24.16,22.94,231.68,7640.0,33006.0,11,2,1.0
0.48,1.64,-28.0,59.39,1.0,88,23.47,22.89,233.9,7692.0,33003.0,11,2,1.0
0.48,1.63,-28.0,59.37,1.0,85,23.51,22.97,229.5,7687.0,32967.0,11,2,1.0
0.48,1.62,-28.0,59.32,1.0,86,24.02,23.07,236.05,7602.0,32927.0,11,2,1.0
0.48,1.62,-27.0,59.2,1.0,84,24.98,23.2,234.73,7492.0,32872.0,11,2,1.0
0.48,1.62,-27.0,59.08,1.0,82,25.39,23.08,248.64,7437.0,32912.0,11,2,1.0
0.48,1.61,-28.0,58.87,1.0,81,24.44,22.95,247.68,7532.0,32972.0,11,2,1.0
0.48,1.61,-28.0,58.55,1.0,80,24.19,23.4,259.98,7557.0,32867.0,11,2,1.0
0.48,1.6,-28.0,59.9,1.0,78,24.27,23.0,252.04,7605.0,33077.0,11,2,1.0
0.47,1.59,-28.0,59.55,1.0,81,24.65,23.33,256.2,7575.0,32892.0,11,2,1.0
0.47,1.58,-28.0,59.16,1.0,84,25.34,23.41,267.31,7525.0,32862.0,11,2,1.0
0.47,1.57,-28.0,58.75,1.0,86,24.54,23.26,283.46,7611.0,32948.0,11,2,1.0
0.46,1.56,-28.0,58.51,1.0,91,20.73,22.93,256.25,8073.0,32975.0,11,2,1.0
0.46,1.55,-28.0,58.3,1.0,92,21.43,22.86,262.18,7632.0,33009.0,11,2,1.0
0.46,1.55,-28.0,58.0,1.0,95,21.27,22.76,251.09,7651.0,33053.0,11,2,1.0
0.46,1.54,-28.0,57.85,1.0,100,22.82,22.78,255.24,7461.0,33063.0,11,2,1.0
0.46,1.54,-27.0,57.74,1.0,97,23.57,23.14,256.45,7386.0,32908.0,11,2,1.0
0.46,1.53,-28.0,57.48,1.0,100,23.5,23.11,264.15,7396.0,32928.0,11,2,2.0
0.46,1.53,-27.0,57.75,2.0,90,25.68,23.34,213.92,7128.0,32788.0,11,2,1.0
0.46,1.53,-28.0,58.0,1.0,87,24.73,23.07,189.24,7604.0,32923.0,11,2,1.0
0.46,1.52,-28.0,58.07,1.0,86,25.45,23.34,191.03,7535.0,32813.0,11,2,1.0
0.46,1.52,-28.0,58.18,1.0,86,24.89,23.49,192.9,7590.0,32753.0,11,2,2.0
0.46,1.51,-28.0,58.08,2.0,81,22.04,23.55,154.39,7940.0,32738.0,11,2,2.0
0.46,1.51,-28.0,57.7,2.0,79,21.13,23.39,191.4,7895.0,32678.0,11,2,2.0
0.46,1.5,-28.0,57.62,2.0,77,21.35,23.29,219.39,7852.0,32710.0,11,2,1.0
0.46,1.5,-28.0,57.41,1.0,79,20.3,23.02,206.7,7952.0,32825.0,11,2,1.0
0.46,1.49,-28.0,57.45,1.0,82,20.5,22.79,207.74,7937.0,32925.0,11,2,1.0
0.46,1.49,-28.0,57.53,1.0,82,21.49,23.08,213.13,7757.0,32803.0,11,2,1.0
0.46,1.48,-28.0,58.15,1.0,83,18.76,22.55,201.08,8307.0,33293.0,11,2,1.0
0.46,1.48,-28.0,58.55,1.0,80,20.51,22.52,213.17,8247.0,33323.0,11,2,2.0
0.46,1.47,-28.0,58.41,2.0,80,21.41,22.33,218.85,7795.0,33068.0,11,2,1.0
0.46,1.47,-28.0,58.67,1.0,80,21.42,22.3,221.53,7795.0,33088.0,11,2,1.0
0.46,1.47,-28.0,58.36,1.0,81,20.0,21.78,233.7,8055.0,33423.0,11,2,1.0
0.46,1.46,-28.0,58.55,1.0,80,18.46,21.73,235.3,7840.0,33038.0,11,2,1.0
0.46,1.46,-28.0,59.52,1.0,79,19.29,21.34,238.39,7518.0,33236.0,11,2,1.0
0.45,1.45,-28.0,59.53,1.0,78,16.99,20.61,221.14,7533.0,33331.0,11,2,1.0
0.45,1.45,-28.0,59.36,1.0,76,15.23,20.29,193.37,7708.0,33460.0,11,2,1.0
0.45,1.45,-28.0,59.99,1.0,71,15.32,21.07,185.25,8038.0,33033.0,11,2,1.0
0.45,1.44,-28.0,60.06,1.0,73,15.85,21.03,192.2,7973.0,33429.0,11,2,1.0
0.45,1.44,-27.0,59.94,1.0,70,18.61,21.23,189.96,7568.0,33340.0,11,2,1.0
0.45,1.43,-28.0,61.54,1.0,69,18.18,20.7,178.32,8093.0,33670.0,11,2,1.0
0.45,1.43,-28.0,63.14,1.0,70,17.94,20.08,170.56,8200.0,34050.0,11,2,1.0
0.45,1.43,-28.0,62.95,1.0,70,19.94,19.75,171.22,8250.0,34185.0,11,2,1.0
0.45,1.42,-28.0,62.63,1.0,73,21.94,20.1,191.47,8080.0,34035.0,11,2,1.0
0.45,1.42,-28.0,62.64,1.0,75,20.09,19.76,193.37,8290.0,34195.0,11,2,1.0
0.45,1.41,-28.0,62.44,1.0,76,21.17,20.15,189.62,8200.0,34025.0,11,2,1.0
0.45,1.4,-28.0,61.97,1.0,79,20.66,20.09,186.6,8250.0,34055.0,11,2,1.0
0.44,1.4,-28.0,61.8,1.0,80,21.66,19.91,192.84,8040.0,34120.0,11,2,1.0
0.44,1.4,-28.0,61.65,1.0,80,23.01,20.11,203.92,7410.0,33655.0,11,2,2.0
0.44,1.39,-28.0,61.58,2.0,79,22.75,19.81,212.09,7485.0,33775.0,11,2,2.0
0.44,1.39,-28.0,61.35,2.0,82,20.62,19.94,207.11,7715.0,33895.0,11,2,1.0
0.45,1.39,-26.0,61.57,1.0,83,19.03,19.56,201.83,7855.0,34058.0,11,2,1.0
0.45,1.39,-27.0,61.48,1.0,80,17.31,19.25,203.42,8015.0,34183.0,11,2,1.0
0.45,1.38,-28.0,61.51,1.0,78,15.92,19.1,200.82,8130.0,33848.0,11,2,1.0
0.45,1.38,-27.0,61.42,1.0,77,15.45,18.84,208.29,8170.0,33953.0,11,2,1.0
0.45,1.38,-28.0,61.33,1.0,75,16.0,19.21,220.67,8085.0,33553.0,11,2,1.0
0.45,1.38,-28.0,61.49,1.0,75,18.35,19.44,244.42,7850.0,33463.0,11,2,1.0
0.45,1.38,-27.0,61.41,1.0,74,18.94,19.31,240.98,7770.0,33508.0,11,2,2.0
0.45,1.37,-28.0,61.42,2.0,74,22.42,19.44,243.02,7435.0,33823.0,11,2,1.0
0.45,1.37,-28.0,61.31,1.0,72,22.91,19.81,241.05,7755.0,33548.0,11,2,11.0
0.45,1.37,-27.0,61.67,11.0,42,100.0,20.63,0.0,0.0,21430.0,10,2,1.0
0.47,1.45,-28.0,62.18,1.0,43,21.47,20.88,113.15,1155.0,21365.0,10,2,1.0
0.47,1.44,-27.0,62.11,1.0,41,19.95,20.27,161.35,1945.0,21140.0,10,2,1.0
0.47,1.44,-28.0,62.12,1.0,40,16.38,19.38,153.31,3230.0,21360.0,10,2,1.0
0.47,1.44,-28.0,62.55,1.0,38,15.23,18.93,149.48,4495.0,21490.0,10,2,1.0
0.47,1.43,-27.0,62.67,1.0,37,16.31,18.76,141.73,5705.0,21990.0,10,2,1.0
0.47,1.43,-28.0,62.91,1.0,36,15.38,18.12,139.88,7035.0,22220.0,10,2,1.0
0.47,1.43,-28.0,62.74,1.0,41,16.43,18.39,150.67,8160.0,22105.0,10,2,1.0
0.47,1.42,-28.0,62.97,1.0,39,16.16,18.83,159.52,8160.0,21965.0,10,2,1.0
0.47,1.42,-28.0,62.63,1.0,43,17.46,19.13,156.92,8445.0,21870.0,10,2,1.0
0.46,1.41,-28.0,62.26,1.0,47,20.05,19.74,173.06,8202.0,21707.0,11,2,1.0
0.46,1.4,-28.0,62.03,1.0,53,21.66,20.46,187.58,8052.0,21527.0,11,2,1.0
0.46,1.4,-28.0,61.76,1.0,54,21.44,20.7,197.35,7987.0,21847.0,11,2,2.0
0.46,1.4,-28.0,61.92,2.0,53,21.65,20.49,212.95,7892.0,21912.0,11,2,1.0
0.46,1.39,-28.0,61.8,1.0,54,21.19,19.92,210.78,7927.0,22042.0,11,2,2.0
0.46,1.39,-28.0,61.82,2.0,52,18.96,19.25,207.75,8155.0,22222.0,11,2,1.0
0.46,1.39,-28.0,61.72,1.0,54,19.15,19.26,204.11,8130.0,22222.0,11,2,1.0
0.46,1.39,-28.0,61.55,1.0,54,19.17,19.29,208.89,8135.0,22227.0,11,2,1.0
