mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
2.65,37.1,0.0,47.0,1.0,150,30.51,31.91,336.73,6725.0,27545.0,11,1,1.0
2.6,36.7,0.0,46.37,1.0,151,32.53,31.62,342.48,6860.0,27665.0,11,1,1.0
2.55,36.32,0.0,46.22,1.0,151,31.83,31.62,333.23,6930.0,27675.0,12,1,1.0
2.5,35.95,0.0,47.55,1.0,153,29.89,31.32,307.78,7125.0,27805.0,12,1,1.0
2.44,35.52,0.0,48.95,1.0,156,29.25,30.75,307.77,7145.0,28100.0,12,1,1.0
2.38,35.04,0.0,49.69,1.0,159,29.04,30.36,303.53,7195.0,28275.0,12,1,1.0
2.31,34.51,0.0,49.42,1.0,163,27.97,30.31,287.62,7305.0,28295.0,12,1,1.0
2.26,34.06,0.0,48.78,1.0,164,27.96,30.92,273.31,7315.0,27945.0,12,1,1.0
2.22,33.76,0.0,48.8,1.0,165,28.12,30.88,251.03,7300.0,27960.0,12,1,1.0
2.18,33.4,0.0,48.65,1.0,168,28.33,30.7,236.85,7280.0,28045.0,12,1,1.0
2.13,33.0,0.0,48.86,1.0,169,28.99,30.44,234.61,7205.0,28140.0,12,1,1.0
2.08,32.55,0.0,48.54,1.0,172,31.88,30.21,221.75,6840.0,28220.0,13,1,1.0
2.04,32.23,0.0,48.03,1.0,174,34.48,30.75,217.69,6565.0,28335.0,13,1,1.0
2.0,31.87,0.0,48.9,1.0,173,34.16,31.15,216.55,6655.0,28230.0,13,1,1.0
1.96,31.52,0.0,48.63,1.0,176,34.09,31.22,225.33,6650.0,28485.0,13,1,1.0
1.94,31.33,0.0,48.26,1.0,177,34.2,31.14,248.92,6620.0,28825.0,13,1,1.0
1.93,31.23,0.0,48.06,1.0,172,35.05,31.29,266.8,6510.0,28735.0,13,1,1.0
1.89,30.95,0.0,48.05,1.0,173,35.85,31.0,280.62,6435.0,28855.0,13,1,1.0
1.88,30.76,0.0,48.56,1.0,174,34.05,31.05,288.36,6660.0,29530.0,14,1,1.0
1.85,30.49,0.0,48.0,1.0,175,32.6,31.19,303.14,6790.0,29435.0,14,1,1.0
1.81,30.14,0.0,47.44,1.0,181,32.31,30.89,310.82,6760.0,29570.0,14,1,1.0
1.77,29.84,0.0,46.96,1.0,180,32.21,31.05,316.62,6785.0,29510.0,14,1,1.0
1.74,29.51,0.0,46.49,1.0,182,31.44,31.14,312.98,6890.0,29475.0,14,1,1.0
1.7,29.2,0.0,46.07,1.0,183,30.2,31.17,308.95,7040.0,29460.0,14,1,1.0
1.67,28.93,0.0,48.07,1.0,186,28.43,31.08,292.29,7335.0,29955.0,13,1,1.0
1.65,28.66,0.0,47.9,1.0,188,28.65,30.69,304.11,7285.0,30115.0,13,1,1.0
1.64,28.55,0.0,47.66,1.0,185,29.81,30.91,306.45,7150.0,30005.0,13,1,1.0
1.62,28.41,0.0,47.35,1.0,182,31.16,31.45,313.12,7010.0,29650.0,13,1,1.0
1.6,28.23,0.0,46.96,1.0,177,32.21,32.0,316.66,6895.0,29430.0,13,1,1.0
1.58,27.98,0.0,46.99,1.0,180,31.79,31.66,316.73,6920.0,29565.0,13,1,1.0
1.56,27.81,0.0,46.7,1.0,180,33.48,31.83,326.61,6760.0,29495.0,13,1,1.0
1.54,27.58,0.0,46.4,1.0,182,35.55,31.78,346.49,6435.0,29530.0,13,1,1.0
1.5,27.26,0.0,46.32,1.0,187,35.13,31.46,338.8,6440.0,29625.0,12,1,1.0
1.48,27.0,0.0,46.13,1.0,190,33.3,31.71,333.02,6635.0,29515.0,13,1,1.0
1.45,26.7,0.0,46.1,1.0,194,31.69,32.02,323.04,6810.0,29315.0,13,1,1.0
1.43,26.55,0.0,45.79,1.0,192,27.88,31.67,320.53,6900.0,29135.0,13,1,1.0
1.42,26.41,0.0,45.46,1.0,189,28.4,31.71,321.48,6860.0,29120.0,13,1,1.0
1.39,26.09,0.0,45.13,1.0,193,26.03,31.24,309.75,7115.0,29295.0,14,1,1.0
1.37,25.87,0.0,44.71,1.0,196,25.28,30.96,308.54,7165.0,29395.0,14,1,1.0
1.35,25.63,0.0,44.57,1.0,199,25.58,30.68,309.26,7153.0,29498.0,14,1,1.0
1.32,25.4,0.0,44.43,1.0,201,24.53,30.48,288.87,7253.0,29563.0,14,1,1.0
1.3,25.19,0.0,44.22,1.0,201,24.95,30.25,281.18,7183.0,29658.0,14,1,1.0
